X Position 1[cm],Y Position 1[cm],Z Position 1[cm],Timestamp 1[ms],X Position 2[cm],Y Position 2[cm],Z Position 2[cm],Timestamp 2[ms]
7.61891,4.06744,-4.65711,1304.18,-8.20954,-3.09439,-0.585972,1304.18
3.84451,7.59301,-6.34624,3349.47,-3.57291,-7.75118,1.85098,3349.47
0.702665,8.80737,-5.21504,3658.63,2.24627,-8.50658,0.270172,3658.63
6.55068,5.88233,-5.82558,3904.81,-6.91011,-4.43092,1.18772,3904.81
6.4082,5.4586,-3.21142,6277.25,-6.55292,-5.3047,-2.35026,6277.25
-5.82723,-6.65298,0.500018,6682.71,5.63216,6.21235,-4.44203,6682.71
8.9153,-2.08819,-5.14877,7570.5,-5.86734,5.91522,-0.30269,7570.5
8.65591,-0.409592,-0.278923,10177.6,-7.84503,3.84382,-5.69476,10177.6
6.8382,-4.92099,0.671969,11678.1,-3.70773,7.57136,-5.74215,11678.1
2.07726,-8.30051,-3.52787,11710.5,-0.220488,8.5649,0.13633,11710.5
-7.73368,-2.70131,-4.50518,12701.5,7.52965,3.32576,-1.02433,12701.5
-0.291565,8.54185,0.732146,13223.6,2.88015,-8.07402,-5.89396,13223.6
-6.02114,6.16527,-0.292233,13887.1,7.95688,-4.09033,-4.52575,13887.1
7.88084,4.08008,-2.09018,14809.2,-7.42047,-3.82499,-3.16999,14809.2
6.52311,-5.95661,-4.59715,15615,-2.07415,8.84121,3.24524,15615
5.70134,-6.56042,-5.14098,17295.3,-2.26774,8.47228,0.040821,17295.3
-5.70266,-5.82303,-3.37341,17534.2,5.65427,6.28306,-1.46858,17534.2
-4.51,7.51133,-3.98616,19022.8,7.03834,-5.70907,0.326194,19022.8
-8.49177,0.464807,-5.19249,19600.7,7.59116,3.27622,0.880344,19600.7
-0.150896,-8.26572,-3.43735,20449.2,1.92841,8.05814,-1.15786,20449.2
2.74315,8.40801,1.23354,20614.2,-2.00727,-8.74462,-2.82844,20614.2
8.83217,-2.0188,-3.10995,21850.3,-8.54052,-1.2978,-5.90999,21850.3
-2.95436,8.27382,-0.47126,22721.2,4.67837,-6.86863,-0.487262,22721.2
-0.531964,8.50007,-3.48871,23479.8,3.15279,-7.56599,-0.356777,23479.8
8.21671,1.99541,-3.43156,23823.2,-8.61003,-0.874016,-1.06979,23823.2
-3.33872,-7.77374,-3.44497,24079.6,4.98167,7.13613,-1.20085,24079.6
7.74889,-4.57807,-0.32652,26251,-5.22571,7.25945,-4.15866,26251
-3.85478,8.0213,-2.16431,26397.1,6.74061,-4.96002,-2.70017,26397.1
8.15288,-1.49648,-3.8643,26503.4,-7.78771,4.67053,1.44872,26503.4
-7.48766,4.19507,2.6522,27102.5,9.03504,-0.898942,-5.34064,27102.5
-3.5087,8.27657,-2.62564,28452,7.46248,-3.68761,4.04111,28452
8.18247,0.511335,-4.88793,28526.2,-8.26542,-0.822474,0.891092,28526.2
2.34122,8.03995,-3.63364,28770.6,2.29287,-8.75767,0.588032,28770.6
-2.34083,-8.67976,-4.56955,29549.3,4.87963,6.888,-0.107003,29549.3
7.75047,-2.45213,-3.31087,29948.9,-3.38755,7.61499,-4.24619,29948.9
-8.68066,-0.433031,5.68704,30468,8.18745,2.23061,-5.93301,30468
7.2623,3.59524,-0.46287,30763.2,-7.89333,-2.83417,-4.44714,30763.2
6.31612,5.5739,-4.38715,32800.4,-5.7995,-6.15115,3.47374,32800.4
4.12176,7.81921,-1.49828,32947.7,2.05435,-8.27531,-5.49069,32947.7
6.33061,5.19571,-4.01257,33373.3,-6.43514,-5.67081,5.58176,33373.3
4.0309,7.11685,-2.08066,34575.8,-7.5035,-4.21293,1.03115,34575.8
8.3164,-2.71609,-3.73941,35398.1,-5.47371,6.11052,5.33942,35398.1
7.99728,3.47033,-5.76128,35602.2,-8.8019,-1.05198,5.05422,35602.2
-7.74501,4.05345,0.504306,35817.6,8.35079,-0.108203,-3.13259,35817.6
7.35594,-5.12213,-0.243398,35826.1,-3.81959,7.17265,-2.78192,35826.1
-7.08488,4.03796,3.79223,36244.4,8.36252,-0.383866,-6.07983,36244.4
-8.21594,-2.92964,4.15792,36263,6.94372,4.53224,-5.29457,36263
8.9744,1.24092,4.19756,36787.5,-8.34945,1.9279,-2.75905,36787.5
3.45884,7.64299,-0.998901,37264,-2.38719,-7.92466,-1.84835,37264
-0.52813,8.48099,-5.61886,38203.9,2.09181,-8.23469,4.23093,38203.9
-1.70914,8.09762,1.52849,39403.4,3.26622,-7.84813,-4.95285,39403.4
5.35612,6.83886,-1.73783,43079.2,-5.45559,-7.21655,-0.415982,43079.2
8.70185,1.49616,2.60235,44959.3,-6.74493,-4.88451,-4.1945,44959.3
