X Position 1[cm],Y Position 1[cm],Z Position 1[cm],Timestamp 1[ms],X Position 2[cm],Y Position 2[cm],Z Position 2[cm],Timestamp 2[ms]
-3.21805,7.59895,-3.35505,906.826,8.60078,-2.65262,-3.68319,906.826
7.95208,3.26316,-4.56723,1294.18,-7.88055,-3.89486,-0.489676,1294.18
2.8939,8.57838,-4.71839,2116.71,0.214981,-8.41814,-1.23993,2116.71
6.26961,5.58773,-4.94104,2672.4,-5.14716,-6.99815,0.897433,2672.4
8.73192,0.414042,-3.31746,2677.45,-8.56878,0.586177,-2.24426,2677.45
4.22394,7.08134,-1.94551,4620.78,-1.37459,-8.27533,-3.58238,4620.78
-5.31928,7.04068,-4.71085,5146,7.06129,-4.16708,-0.66874,5146
3.0171,-7.86681,-3.09483,6092.08,0.703388,8.9717,-2.37301,6092.08
7.15744,4.61343,-3.25622,6187.25,-5.74853,-6.10971,-2.39549,6187.25
7.85634,3.70924,-4.23694,6526.24,-7.83197,-4.50648,-0.595388,6526.24
-6.09606,5.97776,-0.537694,6493.17,7.88138,-3.31442,-4.02414,6493.17
8.68907,-0.977223,-0.35631,10107.6,-8.05641,3.34253,-5.85226,10107.6
-2.10156,8.10506,-2.10021,10241,5.35193,-6.67816,-3.32603,10241
7.91174,4.13222,-0.630019,10686.7,-6.9979,-5.38292,-5.80627,10686.7
5.96337,5.79225,-2.98523,10825.1,-4.08566,-7.55023,-2.9612,10825.1
3.06298,-8.08562,-5.31256,12704.1,0.856396,8.59697,-0.0300685,12704.1
-5.75285,6.43733,-0.187954,13857.1,8.10594,-3.73059,-4.38247,13857.1
7.47667,-3.71254,-5.31848,15019.1,-5.0386,6.80672,0.691399,15019.1
4.48299,-6.86786,-3.54343,15836,3.82383,7.2388,-3.07366,15836
1.33331,8.51383,-1.72462,17412.4,1.84091,-8.03515,-2.30427,17412.4
-5.76244,6.53565,-1.9485,17411,8.1348,-3.07889,-2.53686,17411
2.98397,8.08075,-0.415479,19401.9,-1.14461,-8.49412,-4.84505,19401.9
-8.48822,0.84636,-5.3529,19590.7,7.55078,3.37381,0.591433,19590.7
3.37245,-7.70304,3.45594,20191.1,0.503016,8.09179,-6.06523,20191.1
0.397291,-8.26605,-3.50515,20459.2,-0.179935,8.24242,-1.37,20459.2
8.87517,-1.15079,-3.04337,21860.3,-8.54052,-0.752214,-6.14328,21860.3
4.4125,-7.08152,-3.125,22897,0.0119822,8.66995,-4.8552,22897
-7.35299,-3.71919,1.03699,23447.4,7.17474,5.1978,-3.92327,23447.4
-0.047554,8.72179,-3.33431,23469.8,3.64434,-7.36016,-0.200448,23469.8
-7.82813,4.63191,-5.81022,23619.3,8.08243,0.057,0.668876,23619.3
7.85408,2.89564,-3.34238,23813.2,-8.61001,0.0797069,-1.02776,23813.2
3.7478,7.95814,-4.75293,24317.9,-2.48319,-8.16863,2.54046,24317.9
-6.02185,6.34526,-0.174013,25757.7,8.60719,-2.30825,-4.11079,25757.7
5.15494,7.21049,-6.08015,26131.9,-5.5402,-6.68756,5.94457,26131.9
7.44784,3.52019,-5.04829,26435.4,-8.8499,-0.698981,3.25403,26435.4
-7.16553,5.38166,1.05143,26493.4,8.124,-0.512121,-4.07101,26493.4
-8.78791,-0.735926,-0.947665,26695.2,6.45906,6.06277,-3.53657,26695.2
-7.04365,4.9346,1.99982,27102.5,9.035,-0.0224126,-5.77837,27102.5
2.97703,8.24701,-0.732495,27806.4,-1.29412,-8.1569,-3.50329,27806.4
-8.61466,1.53247,-0.750505,28071.1,8.07097,2.69268,-2.70771,28071.1
1.4436,8.85561,-0.853076,28431.3,-0.913421,-8.47118,-3.07496,28431.3
8.15229,0.32541,-1.89609,28749.5,-7.71405,3.98965,-1.69896,28749.5
0.463229,8.91178,-0.463,29015.2,3.15362,-8.32139,-3.63687,29015.2
-8.42007,1.17281,2.42158,29151.2,8.66528,2.54498,-4.93848,29151.2
-5.28654,6.88447,0.661527,30532.3,7.58959,-3.60563,-3.80546,30532.3
3.36435,7.38984,2.42988,31240.4,-6.81161,-4.7177,-5.904,31240.4
-7.75927,3.81594,-5.50082,32883.6,9.03377,-0.4713,2.34838,32883.6
1.73222,8.14551,-1.19413,32997.7,0.713543,-8.44814,-5.83549,32997.7
7.82937,3.12878,-4.4161,33694,-8.40971,0.508126,1.83469,33694
8.46166,2.21521,1.82813,33847.8,-8.15509,2.27808,-5.73809,33847.8
8.14182,0.00660063,2.83123,34146.6,-7.49917,4.05073,-6.32478,34146.6
-4.42327,-6.98703,-0.960396,34314.5,4.05219,7.85592,-1.99453,34314.5
8.01481,-2.98401,1.5956,34665.7,-5.50249,5.9026,-4.00036,34665.7
7.83198,3.88504,-6.19528,35642.2,-8.80197,-0.597012,4.50126,35642.2
-7.74591,4.05413,0.312207,35857.6,8.50985,-0.145633,-3.36403,35857.6
-8.66269,0.564566,-0.68034,35998.6,7.68792,3.50895,-2.05894,35998.6
8.46836,0.739759,0.738888,37501.7,-7.77568,2.94551,-4.01388,37501.7
-7.32719,3.61693,-4.32654,37512.5,8.59618,-0.262881,1.62245,37512.5
-3.05781,-7.67812,-1.3802,37782.1,2.055,8.0933,-3.55279,37782.1
2.44279,8.11649,-4.95343,39641,-3.19235,-8.15699,4.09244,39641
0.411121,-8.09518,-2.49549,39786.5,0.540107,9.03122,-0.021073,39786.5
-1.99084,8.06518,-0.870948,40076.9,4.05463,-7.80983,-1.88182,40076.9
-0.358704,8.59213,-5.26248,40329.1,1.46172,-8.29,4.4152,40329.1
-2.424,7.75993,1.71211,42208.9,4.55099,-6.97581,-5.66027,42208.9
5.26922,6.27036,2.77232,42334.4,-6.39773,-5.07055,-6.24877,42334.4
0.347997,8.40358,-4.60429,42820.3,1.48258,-8.27384,5.71862,42820.3
-2.60874,7.92549,0.620412,43161.9,4.55704,-7.51694,-4.1111,43161.9
1.30544,9.00753,-0.485896,43828.9,-0.829825,-8.30222,-2.58779,43828.9
8.25261,2.9099,2.52275,44989.3,-8.19887,-0.0245803,-5.28549,44989.3
5.7857,5.8443,-4.96666,45008.2,-5.53965,-6.65104,3.90733,45008.2
6.02312,5.69098,-1.21174,45582.6,-7.07924,-4.60125,-1.05526,45582.6
-4.67402,6.89555,-0.558885,46412.7,6.84877,-5.01599,-2.3627,46412.7
8.97585,1.33783,0.761804,47554.2,-8.21473,1.51358,-3.08548,47554.2
-2.335,7.82047,1.7752,47979.8,-1.26468,-8.33996,-3.002,47979.8
6.92111,4.78437,0.690254,48789,-7.23796,-3.56861,-3.25578,48789
-4.15811,-7.62696,4.81597,49204.6,4.32763,7.43367,-5.21028,49204.6
-7.01891,4.19967,3.57133,49381.8,8.69475,2.59554,-1.74499,49381.8
8.45916,1.27782,2.51152,49711.7,-8.97601,1.00323,-6.11275,49711.7
7.79487,4.00339,-3.5044,50777.7,-8.40005,-1.38989,3.86785,50777.7
8.02151,1.73537,1.86062,51623.6,-7.69267,4.52349,-2.16911,51623.6
-0.752072,8.73837,-1.32843,52002.3,3.78555,-7.60908,-0.527172,52002.3
6.34787,5.63291,-4.88741,52854.9,-7.04688,-5.63539,5.11395,52854.9
7.35744,-3.65988,-4.58658,53493.7,-3.68752,7.57607,3.62378,53493.7
6.94609,-5.13725,-1.3444,53490,-3.96002,7.15417,1.00938,53490
1.81969,8.114,0.948949,55501.5,3.35329,-8.35988,-0.494829,55501.5
7.85081,4.50171,0.236283,56209.8,-6.95632,-4.5484,-2.29755,56209.8
-7.6638,2.98226,-1.38685,56260.2,8.75955,-0.616384,-0.412088,56260.2
2.17968,8.34835,0.998582,56345.6,0.333018,-8.85599,-3.83569,56345.6
1.18834,8.92158,-6.24829,56488.8,2.00837,-8.25314,5.28128,56488.8
