X Position 1[cm],Y Position 1[cm],Z Position 1[cm],Timestamp 1[ms],X Position 2[cm],Y Position 2[cm],Z Position 2[cm],Timestamp 2[ms]
-2.34898,7.96105,-3.30157,886.826,8.23286,-1.32306,-3.60091,886.826
5.59127,7.17803,-2.85336,1188.23,-3.31661,-7.7804,-3.05995,1188.23
8.17599,-1.01251,-4.09807,2088.71,-6.21247,5.74205,3.55342,2088.71
8.63712,2.37695,-0.668131,2455.82,-8.16902,-0.147237,-5.97086,2455.82
1.52171,8.62901,-3.56586,2860.09,2.46384,-7.74478,-1.76837,2860.09
-5.86294,5.53083,-2.18597,3126.19,8.41723,-1.41995,-3.36857,3126.19
-2.94615,8.50007,-2.14494,3565.49,4.7456,-7.44519,-1.57643,3565.49
8.06519,1.79562,-6.09889,4147.06,-8.16959,-0.151134,2.72343,4147.06
5.83365,6.03586,-3.25835,6137.25,-8.66504,0.0689194,-2.84078,6137.25
6.89526,5.34216,-4.29659,6456.24,-8.3629,-2.71128,-0.976878,6456.24
1.58237,8.25618,-5.00045,6731.58,-1.33161,-8.59007,1.28448,6731.58
0.186743,-8.59284,2.09723,6902.48,1.02015,8.3767,-5.90587,6902.48
5.60296,-5.87692,-6.24941,8197.93,-3.30401,7.38563,-0.657858,8197.93
-3.58196,7.34452,-1.53128,8268.17,5.63744,-6.32781,-4.90796,8268.17
-3.57356,8.24929,-2.42123,8206.66,5.82284,-6.9021,-2.94487,8206.66
5.43485,-7.02879,-3.66896,8447.66,-3.70174,8.19628,-2.64868,8447.66
4.38105,7.01224,-3.77,9563.77,-6.35447,-5.78091,0.149361,9563.77
-0.281863,8.28401,-2.88139,9699.59,0.971921,-8.30795,-1.3162,9699.59
8.7476,-0.562588,1.20233,10076.2,-7.64961,3.98554,-5.15755,10076.2
2.86311,8.4279,-4.97475,10291.5,-5.95883,-5.67813,2.27214,10291.5
-3.50178,8.21683,-4.35446,10773.1,4.61914,-7.14508,-0.492972,10773.1
-0.196026,8.41693,-5.90105,12151.7,1.15998,-8.57265,3.05756,12151.7
-6.81496,5.78744,-4.46389,13516.7,8.77682,-2.35954,-0.353519,13516.7
8.09891,-3.74725,-4.81629,13697.1,-5.76539,6.42427,-0.620509,13697.1
6.78809,-5.26158,0.763589,15491.6,-4.25881,7.24341,-4.60216,15491.6
3.87133,-7.12112,-3.69435,15686,2.79701,7.66294,-3.03747,15686
-6.48779,-5.97671,-4.72334,15999.7,6.59754,5.87649,2.33346,15999.7
7.75145,3.00311,-1.95768,18269.1,-8.8454,-0.90848,-2.86514,18269.1
-8.18751,0.815067,-3.28534,19266.4,8.34309,2.47549,-1.47579,19266.4
8.82643,1.08278,-2.89455,20228.4,-7.07948,5.23069,1.44465,20228.4
0.944051,-8.26607,-3.50468,20319.2,0.349671,8.24464,-1.3661,20319.2
5.91965,5.89672,-3.90671,20454.8,-4.52312,-7.13336,2.17788,20454.8
-1.36891,8.68778,-0.537372,22571.2,7.18988,-4.31345,-2.7327,22571.2
-7.00014,-4.56579,1.31328,23327.4,7.70352,4.51473,-3.71444,23327.4
-7.82792,4.63275,-6.29022,23509.3,8.08251,0.0576156,0.188261,23509.3
5.55605,6.56189,-1.39937,23959.6,-2.61202,-8.07468,-3.60235,23959.6
6.3322,-5.10634,-2.1492,24543.3,-0.990782,8.2519,-2.09001,24543.3
8.70783,-1.58295,-0.879956,24569.3,-5.47354,6.10252,-3.18785,24569.3
-7.72992,-2.50923,-5.06494,25602.1,7.66707,3.92403,-0.456575,25602.1
6.62825,4.95369,-1.43604,25719.7,-4.82903,-6.97983,-4.52286,25719.7
8.60633,1.57517,-1.98355,25993.4,-7.9828,2.65032,-2.24984,25993.4
2.83506,8.15358,1.08351,26449.7,5.20567,-6.51075,-1.73249,26449.7
5.77483,-6.51886,1.23018,27189.9,-0.669355,8.41113,-4.66966,27189.9
-6.90369,4.68936,-1.38212,27757.9,8.31419,-0.245357,-1.91866,27757.9
8.17967,1.29897,-4.95819,28366.2,-8.26546,0.0315025,0.860484,28366.2
-5.05937,6.70953,-2.36473,28872.5,8.0568,-1.97345,-1.7036,28872.5
8.11736,0.304481,-5.8164,29033.6,-7.24991,3.60158,4.09795,29033.6
8.29572,2.8747,-0.218935,29340.9,-6.79992,5.10632,-2.66262,29340.9
1.96157,7.95115,-6.27638,29499,1.56735,-8.34853,5.12052,29499
7.75013,-3.29092,0.497213,30765.4,-4.26165,7.01339,-4.30912,30765.4
-8.72531,1.16238,0.0799981,30842.8,8.65575,2.47308,-3.14847,30842.8
8.26951,0.420534,-1.77836,31003,-6.59286,5.22295,-0.778281,31003
2.50262,8.30083,0.561237,31353.8,2.87697,-7.68077,-4.52387,31353.8
-6.78784,-5.59288,-5.1005,31358.8,5.66689,5.9411,-0.383988,31358.8
-2.37016,7.83681,-5.71263,32303.4,5.81057,-5.65864,2.2184,32303.4
7.90633,3.03468,-4.22962,33524,-8.40916,0.402541,2.05298,33524
8.4654,2.20625,1.55709,33667.8,-8.16215,2.26745,-6.01365,33667.8
8.39187,0.491276,-4.25563,34271.1,-7.25236,3.83292,1.3254,34271.1
-4.48737,7.22745,-5.03564,37099.5,7.56414,-3.39917,1.67717,37099.5
4.28863,7.69769,-6.10402,39523.4,-0.818415,-8.18097,6.30675,39523.4
2.13362,-7.87462,-2.4428,39636.5,2.23607,8.803,-0.0389361,39636.5
-1.55933,8.98009,3.15645,39940.2,5.7737,-6.97538,-6.30323,39940.2
-4.84696,-7.72056,-2.14828,41188.7,6.48913,5.39888,1.12043,41188.7
8.39183,-0.903757,-3.66387,41315.3,-5.80642,5.70175,1.20333,41315.3
-5.91859,-5.63063,-0.312783,42051.7,6.30807,5.16279,-1.65059,42051.7
-8.55181,1.37519,2.3552,42286.8,8.18596,1.06208,-3.27205,42286.8
2.86047,8.5344,-0.537487,43628.9,0.772449,-8.3549,-2.59634,43628.9
-3.45352,7.96446,0.0825344,44617.3,7.03882,-4.54323,-2.30609,44617.3
6.75123,-5.65021,-0.427488,44688,-2.20158,8.15873,-2.04774,44688
8.6122,2.62826,1.99899,44759.3,-6.87315,-4.75612,-4.66961,44759.3
6.74099,5.78401,-1.77939,44850.7,-6.58869,-6.13141,-0.337052,44850.7
3.6546,-7.54896,-2.05206,44974.1,4.9942,7.10609,-0.59635,44974.1
-6.34416,-5.78799,-3.3757,45346.4,6.28489,5.25871,-0.065668,45346.4
8.38486,3.33609,-4.58745,45816.4,-8.22466,-1.4696,4.53009,45816.4
4.08266,7.15378,-4.72184,46545.5,-2.42173,-8.72598,5.0077,46545.5
0.550146,-8.99711,0.545598,46830.4,1.38255,8.75462,-5.60183,46830.4
8.28682,1.35016,-2.11142,46974.8,-8.34258,1.29176,1.41867,46974.8
-5.08767,-7.02912,1.03071,47059.8,5.36881,6.59101,-2.36027,47059.8
0.933363,-8.3273,-5.62173,47113.7,2.16185,8.59625,2.0828,47113.7
7.30103,4.4238,-5.77587,47187.9,-7.86093,-3.59384,6.12009,47187.9
7.07689,4.56214,0.541996,48519,-7.13382,-3.82071,-3.41695,48519
3.74926,-7.43769,0.0969539,48975.4,-0.724967,8.7294,-1.21634,48975.4
7.4421,3.63338,-1.94975,49178.2,-8.76511,0.942634,0.871756,49178.2
-6.04688,-6.44524,-0.811948,50022.3,5.61329,6.23562,-1.3078,50022.3
3.86751,7.20879,0.312743,50906.5,-0.251736,-8.16578,1.34778,50906.5
5.80749,-5.71235,3.48728,50957.1,3.33198,7.91632,4.82301,50957.1
8.3664,-0.572872,1.44341,51239.5,-7.62225,4.04467,-4.11506,51239.5
0.698773,8.70417,-3.93659,51544.9,6.5673,-5.27147,4.06983,51544.9
-0.518365,8.08854,-1.30468,51722.3,3.82834,-7.56588,-0.536264,51722.3
-7.30279,-4.46452,-6.06213,52304.2,6.82784,5.35473,2.78795,52304.2
6.22103,5.7627,-4.84624,52574.9,-7.17206,-5.49645,5.14638,52574.9
3.65932,-7.30912,-3.54842,53089.3,-0.528102,8.16697,0.313336,53089.3
6.25145,-5.71255,-1.0268,54050.5,-3.70853,8.04618,-2.23938,54050.5
0.574535,8.71137,-1.48343,54221.9,1.71629,-8.15574,0.153721,54221.9
2.75201,-8.53889,2.41399,54548.1,-2.31119,7.98907,-2.43703,54548.1
-2.66137,8.38265,0.425955,54555.3,5.33499,-6.12867,-2.18661,54555.3
3.5152,8.3193,2.87886,55376.6,0.560052,-8.81104,-5.62508,55376.6
1.15626,8.63748,0.8938,56065.6,-0.74356,-8.85862,-4.12405,56065.6
-8.94827,-0.790192,0.299141,56595.8,7.21883,3.97937,-0.692479,56595.8
4.14398,-7.15559,6.19203,56717.5,-4.99912,7.22643,-5.34463,56717.5
6.67664,-5.25085,-1.14007,59844.7,-2.52967,7.94923,-0.700013,59844.7
6.07041,6.37488,0.886505,61214.7,-8.46004,-1.32396,-5.49369,61214.7
7.48326,4.11535,-1.15008,61754.5,-8.14885,1.92829,0.780321,61754.5
4.9559,6.71627,-2.82616,62998,-6.56304,-5.47374,4.722,62998
-5.58752,6.13674,-2.25919,63052,8.77141,-0.175323,1.23252,63052
-2.66573,8.66361,-5.53831,63676.6,7.12257,-5.45195,6.29346,63676.6
7.82698,3.21312,-2.82181,64028,-8.29279,2.01118,3.03932,64028
5.74676,-6.71933,-2.98008,65541.2,-1.32077,8.10429,1.30841,65541.2
-0.0254087,8.35801,2.99174,65777.9,4.26427,-7.50089,-0.261624,65777.9
-7.07459,4.497,2.99052,66143.8,8.74279,-1.02947,-1.97742,66143.8
6.9241,5.34659,-2.24049,68274.5,-6.72247,-5.7464,2.82073,68274.5
2.78599,-8.17018,-3.31298,68433.7,0.806121,8.90344,2.50223,68433.7
-3.95151,-7.61802,-5.23251,68861.2,4.81468,6.89299,3.5737,68861.2
-4.1826,7.29899,-6.11394,69588.4,6.62847,-6.10214,5.27698,69588.4
-6.79172,5.42589,-4.28012,69948.2,7.98896,-3.11476,2.87592,69948.2
4.77228,-6.86366,-1.69763,71206.5,-2.0965,8.2232,1.41871,71206.5
8.08288,3.53979,-1.30057,71870.2,-7.67981,-3.30895,1.82273,71870.2
-0.161796,9.01278,-2.01297,72152.7,4.02013,-7.51381,2.99075,72152.7
1.18202,8.91372,-5.28257,74060.8,5.11526,-6.95184,5.38683,74060.8
6.55317,-5.56281,1.91361,74381.8,-3.38073,8.0842,-2.55905,74381.8
-4.71399,6.88865,3.60131,74798.9,7.39267,-4.02571,-2.67834,74798.9
7.93254,2.7172,-2.40629,75165.6,-8.58805,-1.39547,3.99682,75165.6
-3.04009,8.28551,-5.45849,75603.9,6.32757,-5.62135,5.64592,75603.9
