X Position 1[cm],Y Position 1[cm],Z Position 1[cm],Timestamp 1[ms],X Position 2[cm],Y Position 2[cm],Z Position 2[cm],Timestamp 2[ms]
-7.32726,4.45114,-6.25947,613.543,8.33494,0.195109,-0.357519,613.543
8.19838,-1.01455,-3.67945,856.826,-2.3945,7.94224,-3.25408,856.826
7.49226,4.36741,-4.44588,1254.18,-7.94001,-2.60966,-0.479802,1254.18
-7.84017,4.19313,3.14088,1784.82,8.2364,0.382225,-6.12096,1784.82
-7.8481,-2.37003,0.923255,2525.96,7.36788,4.08958,-5.23336,2525.96
6.51318,5.37357,-3.995,3366.29,-7.12723,-5.40516,-0.986341,3366.29
7.21297,4.5997,-4.4312,4198.5,-5.17556,-6.67309,-1.66641,4198.5
6.57558,5.29122,-3.21378,6187.25,-6.38356,-5.47669,-2.3493,6187.25
1.49863,-8.6801,1.95143,6962.48,2.2939,8.12679,-5.9258,6962.48
-8.44265,0.322946,0.542345,7292.26,8.07905,-0.443611,-1.92857,7292.26
2.94135,7.62267,-0.711188,7984.43,0.594644,-8.26041,-5.92924,7984.43
-2.22444,8.7785,-2.3999,8246.66,6.69658,-5.38897,-2.79689,8246.66
7.84116,3.0805,-5.92246,8558.43,-8.34756,-0.684107,2.87589,8558.43
-7.24994,-4.33423,-5.39733,8604.82,6.99985,5.24474,-0.892013,8604.82
5.49139,7.21191,-3.87341,13076.6,-3.95196,-7.84888,0.558457,13076.6
8.90573,-1.46688,-0.745004,13576.7,-6.12795,6.43328,-4.75058,13576.7
7.86729,-2.69144,-5.0001,14600.4,-2.53171,8.72084,-3.5708,14600.4
6.05668,-6.45189,-0.896407,14934.2,-0.806044,8.48617,-3.56007,14934.2
5.47629,-6.93266,-6.27117,16775.4,-1.05492,8.76748,0.64801,16775.4
8.54743,2.85972,-5.03132,16889.7,-8.74639,0.298436,2.34384,16889.7
-8.30185,-0.544133,2.61397,17140.3,7.74546,3.09997,-5.1359,17140.3
-7.23548,-5.05474,-3.58572,17792.7,7.26523,5.0757,-1.9656,17792.7
-1.15563,-8.81406,0.548804,18654.3,3.61802,8.0814,-4.04803,18654.3
-8.19207,1.44236,-3.2625,19276.4,8.11322,3.06562,-1.46846,19276.4
2.69106,7.77193,-3.27794,20055.4,-0.304276,-8.89852,-0.296332,20055.4
8.87999,-0.444615,-3.06051,21740.3,-8.54053,0.0200305,-6.10197,21740.3
7.32717,-5.16315,-2.89361,22565.1,-2.34479,8.54229,-1.67093,22565.1
0.12704,8.71821,-3.2406,23389.8,3.79992,-7.29569,-0.119911,23389.8
4.40979,7.3379,-1.40949,23998.5,-3.86094,-7.49982,-3.64509,23998.5
5.79786,-6.43071,2.10026,24549.4,-0.913199,8.86771,-2.33346,24549.4
4.24893,-7.03228,-2.71356,24805.3,-0.250853,8.59273,-1.582,24805.3
8.02473,1.87526,-1.96216,26023.4,-7.86707,2.91738,-2.2347,26023.4
7.71877,2.9789,-4.80583,26325.4,-8.84657,-1.27937,3.63306,26325.4
4.89182,6.68303,-1.56733,26773.5,-1.9028,-8.70263,-0.372347,26773.5
-3.17935,-7.72882,-5.06421,27471.6,5.3553,6.17737,-0.42214,27471.6
-8.73138,0.73952,-0.611362,27931.1,8.38369,1.93117,-2.61957,27931.1
-2.80367,8.49243,-2.6282,28033.3,6.99706,-5.44206,-1.31482,28033.3
8.18248,0.697179,-4.83203,28386.2,-8.26542,-0.700046,0.909288,28386.2
-2.14406,-8.76127,-4.57771,29429.3,5.03945,6.72707,-0.139851,29429.3
-8.6187,-0.692671,5.85692,30348,8.34451,1.96897,-5.79372,30348
2.27598,8.29401,1.16566,30814.3,3.25227,-8.0691,-5.22022,30814.3
6.01472,-6.0641,1.95796,31074.3,-0.355033,8.32111,-5.25639,31074.3
7.79814,2.69255,-4.73288,31013.3,-8.68886,-2.45996,4.71561,31013.3
-5.65154,-6.67659,-5.20776,31358.8,7.32022,5.37909,-0.262084,31358.8
3.39706,-7.677,1.12281,31907.1,2.34464,8.55936,-4.32346,31907.1
6.53038,4.90127,-4.04983,32680.4,-5.33647,-6.61526,3.663,32680.4
4.88386,7.06363,-1.35776,32827.7,2.77143,-7.97895,-5.25777,32827.7
8.15168,-0.675116,-1.55079,33283,-6.22708,5.3864,-1.56528,33283
3.10653,-8.03358,2.59178,33637.6,3.53494,8.05893,-4.48515,33637.6
-7.47954,4.06936,-4.05108,33802.9,8.97902,0.224852,-0.453351,33802.9
8.18636,0.448742,-3.66582,36962.5,-6.42895,6.16114,2.81063,36962.5
-3.28033,7.49048,-2.7799,37043.9,8.24838,-2.65193,-0.332184,37043.9
4.46418,7.2267,-1.07664,37164,-1.3345,-8.22901,-1.92354,37164
-4.04352,7.88922,-2.79848,38210.8,7.72026,-2.46681,0.629624,38210.8
3.53803,-7.32204,-4.97946,38671.6,1.56331,8.38636,0.613692,38671.6
-8.48096,2.00846,0.4575,38901.5,7.78363,2.771,-2.64364,38901.5
-0.871308,8.12763,1.04321,39889.5,7.8563,-3.74875,-2.78394,39889.5
-5.44924,-7.13871,-2.14567,41188.7,5.90163,5.98862,1.15165,41188.7
-6.77089,4.85415,-6.14533,42465.8,8.40366,-2.22523,0.494252,42465.8
1.34395,8.71875,-4.66186,42710.3,2.46604,-7.93203,5.5682,42710.3
5.10322,7.08806,-1.6068,42979.2,-5.31041,-6.44187,-0.345408,42979.2
-1.09439,8.90122,-3.79581,43586.8,7.21392,-4.97376,-1.51524,43586.8
2.1735,8.823,-0.515655,43688.9,-0.0432552,-8.72182,-2.71732,43688.9
6.41558,6.04019,-1.83635,44940.7,-6.87709,-5.86446,-0.384962,44940.7
-8.02437,2.76749,0.278472,45125.7,8.51626,-0.0564261,-2.39768,45125.7
-5.23269,-6.21787,-6.31,46214,5.78972,5.89308,1.65725,46214
6.10588,-5.31415,-1.53012,46384.4,-3.0817,7.57719,-0.6671,46384.4
4.8932,-6.83032,1.10256,46766.7,-2.306,8.42286,-3.27823,46766.7
6.64001,4.91901,0.99014,47417.8,-6.79338,-5.05253,-4.82636,47417.8
6.34276,-6.37202,-2.05091,47933.4,-3.70557,7.54118,-0.188771,47933.4
-3.80999,-7.77119,4.51443,49044.6,4.67575,7.28944,-5.51182,49044.6
6.82237,-4.73496,-3.06098,49147.8,-5.70179,6.581,1.08747,49147.8
8.94488,1.988,-1.77204,49211.8,-7.6905,3.76119,3.93332,49211.8
7.88236,3.23658,-2.07751,49288.2,-8.76306,0.202533,0.789581,49288.2
7.06407,-4.94217,-2.09069,49850.7,-5.80753,6.52347,0.55134,49850.7
