X Position 1[cm],Y Position 1[cm],Z Position 1[cm],Timestamp 1[ms],X Position 2[cm],Y Position 2[cm],Z Position 2[cm],Timestamp 2[ms]
-8.08078,-2.93282,0.213314,594.352,6.11286,6.32488,-0.0314458,594.352
-4.55758,7.28004,-2.74891,1543.46,6.9057,-4.91142,-4.17652,1543.46
8.21656,1.02662,-4.80975,2675.48,-7.95998,3.49955,-0.97281,2675.48
8.59841,1.52304,-5.75586,3324.67,-7.31479,3.92164,0.770827,3324.67
5.8668,5.94649,-3.89824,3386.29,-7.61404,-4.71191,-0.94955,3386.29
4.24483,6.99274,-4.09126,3549.52,-5.00184,-6.92451,-0.559458,3549.52
6.06417,6.33123,-6.10556,4108.15,-7.67217,-4.36124,2.20432,4108.15
7.81812,2.6932,-6.13573,4163.92,-8.17844,0.775948,2.55893,4163.92
6.35947,5.53322,-4.35048,4188.5,-7.92743,-2.47023,0.416303,4188.5
0.287175,-8.45997,2.61117,6972.48,1.17993,8.5753,-5.49822,6972.48
-5.49508,-7.19618,-1.53639,7090.32,3.65673,8.15707,-2.94497,7090.32
8.83379,-1.26326,-5.49403,7470.5,-5.73172,6.62368,-0.728099,7470.5
6.43332,5.09572,-4.6247,9756.13,-8.20922,1.06692,0.0396802,9756.13
7.01304,4.86963,-4.47714,10140.5,-8.79746,1.08711,-0.139686,10140.5
-8.11245,-2.90349,-3.21964,11206.9,5.2681,6.97521,-2.14804,11206.9
-9.02685,0.778502,-3.75741,12341,5.59347,6.97482,-3.12722,12341
5.33987,6.51904,-4.59246,13331.7,-8.03305,-2.48258,1.96245,13331.7
8.45313,-2.89202,-5.01252,13757.1,-5.1165,7.06556,-0.903519,13757.1
-4.45489,7.03444,-0.612798,15103.4,7.75189,-3.00662,-5.62718,15103.4
-3.30711,7.62667,-1.60931,15343.9,7.26977,-5.27068,0.118033,15343.9
-5.39251,6.3643,-6.00656,15913.6,8.33943,-2.00123,3.88698,15913.6
-7.77989,3.87071,-3.59579,17598.1,8.54491,1.85408,5.13849,17598.1
4.04987,-7.10415,1.69139,18829.7,-2.15301,7.86554,-4.41942,18829.7
0.441434,8.8837,-1.06799,19061.1,-1.84374,-8.3596,-3.55136,19061.1
8.20915,-0.558609,-2.37262,19995.1,8.50633,-0.58331,-3.09971,19995.1
-2.91762,7.79251,-5.23737,20104.5,6.18156,-6.50066,2.91464,20104.5
8.82422,2.00094,-2.43124,22607.2,-7.7047,2.69263,-1.88698,22607.2
-6.19228,5.88972,-3.07514,22621.8,8.48842,-2.06424,-0.732416,22621.8
2.65788,7.98241,-0.515192,23223,-2.69156,-8.35809,-4.06802,23223
-1.00861,8.71688,-3.28754,23279.8,2.7629,-7.7252,-0.0835579,23279.8
7.67753,3.3099,-3.46901,23623.2,-8.61009,0.52745,-1.17944,23623.2
-4.67159,-7.22159,-3.56863,23879.6,3.68972,7.76169,-1.31346,23879.6
7.93718,3.87068,-2.02995,24863.3,-8.42522,0.309974,-1.39589,24863.3
-8.09902,-1.53035,-4.57165,25582.1,6.92669,4.7567,-0.0653633,25582.1
-7.02417,4.4541,-0.563539,27101.1,8.62897,-1.29083,-3.26067,27101.1
4.56338,7.08883,-0.995414,28281.3,-1.01251,-8.4703,-3.01267,28281.3
-0.650153,8.9946,-2.63741,29335.3,2.99887,-7.71901,-0.892507,29335.3
8.43492,2.53845,0.0640807,29400.9,-7.29261,4.43935,-2.65522,29400.9
-0.488654,8.88313,-6.32713,29457.2,2.73866,-7.69239,3.11279,29457.2
-5.63151,6.54291,0.839811,30402.3,7.82699,-4.42536,-3.82675,30402.3
2.32293,8.3752,0.844116,31423.8,2.53655,-7.91966,-4.36535,31423.8
-2.51562,7.82844,-5.75747,31690.1,6.82553,-5.48973,4.5346,31690.1
7.05081,5.442,3.03603,31985.5,-6.72559,-4.73309,-6.18002,31985.5
3.50039,7.63634,-1.32058,32877.7,1.15632,-8.44798,-5.39379,32877.7
1.5356,-8.66273,2.64415,33687.6,2.04711,8.61739,-4.86045,33687.6
8.54503,-0.395057,-4.25118,34393.4,-7.57673,3.03209,1.49626,34393.4
-7.57975,3.33997,1.09077,35376.5,8.40995,-0.931645,-3.59909,35376.5
-2.80807,7.80871,-3.05133,35909.2,7.30386,-4.3527,-5.87848,35909.2
-1.52236,9.02578,-3.98408,36098.9,4.82705,-7.7743,1.30499,36098.9
5.12228,7.0302,0.0276332,38079,-3.83858,-7.58386,-3.5935,38079
0.465581,8.48151,-5.63321,38203.9,3.04605,-7.93741,4.04123,38203.9
-0.663653,8.21554,-3.78018,39290.4,4.4711,-7.14705,1.26274,39290.4
-0.504009,8.43576,1.56847,39393.4,4.41829,-7.37103,-4.87947,39393.4
4.22285,7.26219,-4.06363,39752.7,-2.19431,-8.72674,2.95819,39752.7
-0.836699,8.13615,-0.836708,40016.9,5.08931,-7.23982,-1.86285,40016.9
8.0642,-0.971553,-3.66438,41435.3,-5.96603,5.54572,1.14289,41435.3
3.7941,7.86625,0.90374,43109,-0.353213,-8.12941,-5.13575,43109
-6.83579,-5.01586,1.87494,43253.2,6.65965,5.04911,-2.96972,43253.2
7.03474,-4.50465,-2.31502,44757.3,-3.43592,7.96874,0.0738422,44757.3
6.64909,5.87844,-1.77051,44990.7,-6.67387,-6.04112,-0.327485,44990.7
-6.37794,-5.7542,-3.39695,45486.4,6.26862,5.3087,-0.0824292,45486.4
4.23014,7.1278,-4.63876,46685.5,-2.28137,-8.78382,5.11553,46685.5
-4.54118,-7.02525,0.687247,47189.8,5.53727,6.42416,-2.3019,47189.8
6.58654,4.96926,0.619942,47437.8,-6.84459,-5.00122,-5.19419,47437.8
8.55153,-1.58656,-0.499598,47496.3,-6.09752,5.73759,-2.00425,47496.3
0.918077,8.62925,2.83629,48105.8,3.425,-8.15927,-6.11725,48105.8
2.01024,8.09085,-1.03143,48820.3,2.2786,-8.08436,-0.661338,48820.3
4.17309,-7.34226,0.0899281,49085.4,-0.275554,8.73458,-1.21822,49085.4
7.86942,3.54592,-1.92593,49242.8,-8.5163,0.73371,0.551056,49242.8
-4.79669,7.47196,4.22102,49871.6,8.04438,-4.14434,-5.52552,49871.6
3.22598,-8.41851,-1.81019,49834.3,3.30491,7.72271,-2.1869,49834.3
8.06515,-2.63719,1.15314,50021.9,-6.28944,6.48701,-3.88812,50021.9
-7.52392,-2.95178,-5.46512,50469.6,5.26869,6.66741,3.03241,50469.6
-0.0824786,8.13395,-2.71229,51683.5,7.20638,-3.80248,1.7909,51683.5
-0.0940543,8.73838,-1.33533,51842.3,4.40207,-7.45715,-0.536207,51842.3
-8.04853,-1.70439,2.63224,52027.6,7.3853,3.54224,-2.94984,52027.6
-6.78483,4.73853,0.61672,51986.7,9.04197,-1.53765,-5.23525,51986.7
8.08731,1.86325,0.0244351,52290.7,-9.03029,-0.591768,-2.51256,52290.7
5.47863,-6.87901,-5.4888,52499.8,-1.06676,8.2552,3.26293,52499.8
7.59203,-3.05074,-2.18175,52883.7,-4.63045,7.2903,-4.70552,52883.7
4.26394,-7.05875,-3.31178,53189.3,0.186138,8.16492,0.35517,53189.3
8.75695,-1.17858,-4.80298,53281.2,5.32402,-6.06787,-2.21204,53281.2
2.74356,7.92512,-1.14659,54038.5,0.426396,-8.45663,-0.0175796,54038.5
-2.74263,-7.71197,2.06109,55729.1,5.19023,6.52133,-2.7307,55729.1
-8.60285,-2.34532,0.404532,56755.8,7.84956,2.51102,-0.675253,56755.8
7.19351,-4.67243,-1.332,56858.2,-4.20925,7.47999,0.105071,56858.2
7.80039,-2.47369,5.19418,57452.4,-2.21294,8.06613,-6.17246,57452.4
3.76226,-7.17277,1.68148,58274.1,-0.677318,8.07111,-3.44138,58274.1
6.62791,-5.39349,1.96607,58807.9,-4.40317,7.21564,-3.58626,58807.9
1.53954,-8.24061,1.79146,60220.6,2.04541,8.12148,-2.34946,60220.6
5.27457,-7.15651,-2.89442,62477.2,-2.86504,7.99174,3.73312,62477.2
2.84075,-7.96564,3.96364,63876.6,-0.178171,8.53182,-4.68151,63876.6
-4.63508,-7.39659,-3.72681,64330.6,1.94256,8.37826,2.52547,64330.6
8.14537,-2.14433,0.748545,64424.9,-7.70334,2.99331,-1.47398,64424.9
-0.0401229,8.79678,-1.55276,65338.4,2.44802,-8.44579,0.0342998,65338.4
-1.79985,8.47335,-0.0778379,66188.8,3.8536,-7.892,-1.07022,66188.8
3.60844,-8.13605,5.33161,66585.2,-1.58066,8.97751,-5.81538,66585.2
-8.46657,-1.04097,2.77,67583.7,8.11106,1.74728,-2.63777,67583.7
-0.220433,9.00568,-5.58589,67727.5,2.91479,-7.90231,4.50878,67727.5
8.60526,1.14689,6.0328,70992.6,-6.60929,5.44456,-3.88228,70992.6
-2.9091,8.10913,1.4058,71696.5,4.06758,-7.22789,-1.76749,71696.5
8.20569,-2.97383,3.27702,71833.7,-7.22902,4.31658,-4.23289,71833.7
7.89756,3.98213,-1.43513,72360.2,-8.00826,-2.92956,1.7164,72360.2
7.42217,-3.49981,4.52701,72858.8,-7.34026,4.73574,-4.72177,72858.8
-7.84035,3.03906,5.596,73254.6,8.23498,-1.89456,-1.79059,73254.6
7.8087,3.36226,1.78112,73539.5,-7.99675,-2.33066,-2.12838,73539.5
8.00158,-2.85383,1.90051,74231.3,-7.58159,4.15317,-2.00842,74231.3
-2.96361,8.05496,4.33465,74179.9,3.86113,-7.68884,-4.41435,74179.9
8.63252,-1.38835,-4.31742,74324.3,-5.85093,5.9178,3.19381,74324.3
8.46481,-0.630491,-3.07087,74587.9,-7.93545,1.88851,3.66611,74587.9
6.63413,5.47814,2.25332,74850.9,-6.91418,-4.81424,-2.82144,74850.9
7.77942,-4.07145,-1.45108,74808.7,-5.31128,6.20605,0.944069,74808.7
4.94364,-7.15725,0.826666,74980.2,-4.51419,7.91732,0.34862,74980.2
7.22179,-5.02622,4.28332,75538.5,-5.50104,6.6144,-2.59175,75538.5
7.53989,-3.87108,2.582,76309.1,-6.64266,4.7993,-2.58473,76309.1
-5.90793,-6.23573,2.42082,77340.1,5.8425,6.61276,-2.34873,77340.1
4.48331,-7.02832,-4.22621,78401.1,-3.3028,7.5811,3.89283,78401.1
-5.61153,-6.15472,5.14648,79035.3,5.58198,6.27683,-4.05694,79035.3
4.14549,8.07321,-2.8146,79163.6,-4.02074,-7.07306,2.95927,79163.6
4.00886,7.68292,-0.190379,79836.9,-3.98846,-7.88321,2.79341,79836.9
-6.48134,-6.14843,0.925011,79919,5.5349,5.92496,-0.723464,79919
-6.5902,5.59729,3.15593,81066.7,5.11301,6.80266,-3.67587,81066.7
5.75054,-6.71037,-2.58525,81284.8,-3.79765,8.09002,2.55426,81284.8
8.50669,-2.8882,1.38185,81450.7,-6.9468,5.74363,-0.398576,81450.7
8.96983,-0.944854,-2.31598,81835.9,-8.39089,2.47333,2.88552,81835.9
5.36206,7.15277,1.71218,82084.6,-4.80515,-7.47103,-1.03408,82084.6
8.06726,-1.51711,-3.24788,82586.5,-7.68345,3.38963,4.89075,82586.5
-8.18622,1.70807,-1.04451,82949.4,8.8614,-0.565191,1.50612,82949.4
7.69333,2.63442,-1.3038,83218.2,-8.3075,-2.14892,3.56903,83218.2
2.65862,-7.64132,-0.665101,83274.2,-0.915528,8.70139,1.36229,83274.2
-0.236368,8.86726,2.33169,83703.7,6.09369,-5.55828,0.204192,83703.7
8.4646,0.0578854,-1.50657,86352.1,-6.79201,4.65242,4.88126,86352.1
2.57119,7.94431,-2.60525,87271.8,-0.0512521,-8.36779,4.17388,87271.8
-5.86657,-6.66586,-1.98932,88217,6.80769,5.37228,2.50834,88217
1.26534,-8.63194,1.60526,88524,1.89662,8.45226,-0.500284,88524
-2.82091,-7.56851,-1.83237,88908.8,2.76442,7.86614,0.244174,88908.8
-7.03864,4.56246,-0.765978,89065,8.48109,-2.61254,1.09226,89065
