X Position 1[cm],Y Position 1[cm],Z Position 1[cm],Timestamp 1[ms],X Position 2[cm],Y Position 2[cm],Z Position 2[cm],Timestamp 2[ms]
8.2428,2.12123,-5.8401,1904.85,-8.00225,1.98248,2.59069,1904.85
3.6757,8.25326,-4.30209,2076.71,0.986134,-8.80264,-0.814929,2076.71
8.87825,0.651821,-2.23865,2716.39,-7.28332,4.72282,-3.77129,2716.39
2.32428,8.77124,-5.01494,3558.63,3.80266,-7.86195,0.252947,3558.63
5.18056,7.23184,-3.37638,3642.92,-3.53164,-7.53818,-2.36364,3642.92
6.88357,4.82563,-5.3184,9891.7,-8.88597,1.45297,-4.49866,9891.7
7.50616,3.99583,-1.91881,10121.6,-8.60176,-1.29112,-2.98902,10121.6
7.55833,3.27233,-4.52724,10100.5,-8.79945,-0.646384,-0.0449081,10100.5
7.6775,3.20244,-5.02577,10556.9,-8.21886,2.91664,-1.75908,10556.9
-5.14201,-7.07741,-5.17079,13244.9,3.81835,7.29208,-1.03222,13244.9
-3.68951,7.26697,-5.33615,13654.8,6.86174,-4.93158,1.599,13654.8
-7.72286,-3.8674,-1.0554,13712.4,5.84658,6.11629,-3.42243,13712.4
-4.52129,6.90364,-6.28253,14187.1,7.95528,-3.6921,2.8147,14187.1
5.21569,-7.29274,-0.67752,14934.2,-1.99609,8.40694,-3.47889,14934.2
2.82675,7.58548,-1.45339,15395.1,0.031118,-8.08032,-3.82626,15395.1
4.08259,-7.03357,-3.79317,15706,2.55347,7.76507,-2.94756,15706
7.9107,-2.01649,-6.25289,15962,-5.77857,6.7145,1.16862,15962
-6.84039,-5.62189,-4.78658,16019.7,5.75673,6.01471,1.63721,16019.7
5.75233,6.17516,-4.08694,16070.5,-6.95426,-5.71487,0.179368,16070.5
-2.5975,7.79466,-3.36081,17135.6,7.04432,-4.27058,-0.97005,17135.6
-7.70722,-4.09021,-3.5758,17772.7,6.50194,5.83753,-1.99022,17772.7
7.40583,4.12622,-1.96424,18269.1,-8.85211,0.296346,-2.84878,18269.1
-3.25445,8.03175,-3.65146,18882.8,7.70234,-4.5142,0.449261,18882.8
6.73712,5.80776,-0.671055,18938.5,-7.77903,-2.77042,-5.06942,18938.5
6.96691,4.79082,-1.64221,19097.1,-8.15215,-0.765541,-4.22668,19097.1
-8.03568,1.95551,-3.22775,19236.4,7.97189,3.55079,-1.48095,19236.4
7.10657,4.44637,0.440584,19420.7,-8.34487,1.9983,-5.29141,19420.7
-6.17975,6.24249,-5.75264,20429.4,8.50692,-1.00534,1.23511,20429.4
2.02978,8.11146,-6.05762,21469.7,0.16737,-8.14966,1.86493,21469.7
-7.7623,2.55224,-1.85073,22637.2,8.93342,1.57203,-2.26633,22637.2
0.113186,8.72218,-3.34958,23339.8,3.79161,-7.29917,-0.227967,23339.8
-1.97102,8.14222,-2.09033,24553.3,5.6603,-5.77811,-2.15221,24553.3
-0.978208,8.18686,1.43944,25670.7,4.90157,-7.0081,-6.1136,25670.7
6.22076,5.36007,-1.2864,25739.7,-6.02016,-5.64369,-4.07782,25739.7
7.73756,2.78865,-5.05095,26335.4,-8.84987,-1.51259,3.39992,26335.4
8.78022,0.281725,-3.82958,27130.7,-7.74423,2.53777,0.648245,27130.7
6.49983,-5.93905,-1.26073,28063.3,-3.27728,7.95006,-2.57511,28063.3
1.92906,8.70761,-0.772028,28301.3,-0.362242,-8.47124,-2.97019,28301.3
8.68983,-1.10271,-3.74137,28796.5,-7.6845,4.32844,0.359244,28796.5
-7.62021,3.23156,-4.88592,29033.3,8.42202,-2.63878,4.74143,29033.3
7.92591,-4.1562,-3.69663,30412.3,-5.43293,6.74147,0.943339,30412.3
8.26951,-0.234042,-1.78014,31073,-7.02512,4.78944,-0.691063,31073
5.76904,-6.16992,-2.16126,31156.9,-5.7126,6.44692,-2.07899,31156.9
-6.55839,5.56856,0.879042,32813.5,8.18137,-2.10082,-3.80123,32813.5
2.19889,-8.40951,2.57881,33667.6,2.68074,8.36969,-4.7316,33667.6
8.07932,1.75319,-2.86857,33783.3,-8.13677,1.08361,0.354896,33783.3
8.23463,-0.0475377,-3.86625,34324.7,-8.11167,1.6784,0.596813,34324.7
7.58082,4.08397,-3.63727,35573.5,-7.05784,-4.52795,2.01649,35573.5
3.79175,7.81727,-1.3015,35781.2,-0.066814,-8.36915,-1.54417,35781.2
2.41339,8.14568,-6.15601,37367.9,-0.148825,-8.71983,4.44587,37367.9
