X Position 1[cm],Y Position 1[cm],Z Position 1[cm],Timestamp 1[ms],X Position 2[cm],Y Position 2[cm],Z Position 2[cm],Timestamp 2[ms]
-2.51138,7.89168,-3.35596,876.826,8.81865,-2.1187,-3.62218,876.826
7.80307,-3.03068,-3.79859,1862.3,-4.54165,7.19591,-2.11443,1862.3
4.42664,7.94361,-4.56421,2066.71,1.84536,-8.43182,-1.20988,2066.71
8.48782,-2.85508,0.177013,4590.87,-8.69756,2.21668,-3.38647,4590.87
8.9814,-0.114175,-2.58443,5291.09,-7.56997,2.94231,-2.91691,5291.09
4.84435,6.81237,-3.10108,5443.33,0.355718,-8.23794,-2.65334,5443.33
-4.64178,-7.56032,1.00364,5443.29,6.86583,5.12874,-4.74823,5443.29
8.64449,-0.510653,-3.14838,5501.91,-7.89726,3.34457,-1.90224,5501.91
2.04824,8.73557,-2.40335,6022.08,4.21191,-7.10605,-3.10912,6022.08
2.77506,-8.17887,-4.87108,8267.83,1.12808,8.15804,-0.538506,8267.83
-3.07175,8.20991,-4.41065,9100.9,2.62545,-8.53313,-2.43267,9100.9
-3.83521,7.33354,0.56845,9343.97,6.96377,-4.25372,-5.60338,9343.97
5.74804,6.30249,-2.99079,10725.1,-4.4872,-7.26269,-2.96416,10725.1
8.30637,-1.30781,-5.57784,10887.1,-6.82206,4.80852,1.1252,10887.1
4.33964,-7.0986,-4.84332,11657.8,0.912256,8.24173,-3.16354,11657.8
5.72239,-6.06861,-1.43589,13095.5,-2.00091,8.51023,-3.67344,13095.5
8.19384,-0.269403,-5.44279,13666.7,-7.32366,3.64103,2.01161,13666.7
-7.98764,3.04166,-3.63291,14125.3,8.97308,-0.134274,-1.82211,14125.3
7.47459,-3.55419,-5.44502,14859.1,-4.81835,6.78779,0.465409,14859.1
-6.17476,-6.28974,-4.73338,15979.7,6.91025,5.58471,2.28836,15979.7
1.89774,-8.7078,2.53962,18070,-0.397096,8.10801,-4.74661,18070
-7.83753,-2.62964,-4.73233,18918.5,6.62528,5.91949,-0.350481,18918.5
0.411732,8.88369,-1.03094,19071.1,-1.82107,-8.36901,-3.5323,19071.1
-8.14568,-0.331342,-5.65263,19400.7,7.68967,4.89887,1.31241,19400.7
-6.9035,5.41239,0.603374,20178.4,8.14251,2.0642,-3.04777,20178.4
2.73461,8.27635,-0.365212,20329.8,-3.86091,-7.26638,-4.50665,20329.8
6.29502,5.27383,-2.18137,21289.4,-7.89975,-2.08404,1.75366,21289.4
0.808539,8.28746,-5.91135,21429.7,-1.12918,-8.151,2.00325,21429.7
0.0740722,8.53607,-5.44812,22192.9,2.10184,-8.33954,4.04648,22192.9
3.23291,7.84175,-0.697149,23193,-2.08939,-8.23766,-4.04771,23193
8.16535,0.971607,-4.24428,26399.5,-7.39385,4.6168,1.68689,26399.5
7.9233,-2.73869,-2.29584,27983.7,-3.58901,7.33768,-1.53561,27983.7
2.54524,8.50258,-0.901344,28251.3,0.225576,-8.47119,-3.0767,28251.3
8.98054,-1.03426,1.94929,28374.9,-7.45247,4.18592,-3.52914,28374.9
8.7309,-0.146934,-3.59851,28756.5,-7.13078,5.19412,0.394091,28756.5
4.24395,7.26637,-0.232103,29369.3,-3.02073,-8.39808,-4.71932,29369.3
2.35427,8.35453,-2.01895,30248,0.384132,-8.34877,-0.957843,30248
-5.19212,6.9819,0.845188,30342.3,8.03648,-4.19729,-4.17671,30342.3
-3.03067,-7.97035,2.08127,30512.3,6.16833,6.14322,-3.91739,30512.3
2.87708,7.87021,-3.42118,32316.7,-2.34708,-8.65909,0.676276,32316.7
-6.58651,5.08575,0.641899,32783.5,8.05196,-2.41694,-4.13152,32783.5
8.07021,2.56249,-4.63061,33554,-8.40972,-0.0957731,1.70863,33554
0.522493,-8.66269,2.753,33647.6,1.05361,8.79815,-4.79888,33647.6
3.63968,-7.52878,-0.841934,34976.3,-2.48073,7.9237,-2.24196,34976.3
-8.46757,0.0614085,-4.89212,34979.6,8.07868,2.40168,1.4386,34979.6
-7.32143,-3.49118,-2.59589,35493,6.37898,5.0791,-0.553922,35493
8.63028,-1.00035,-3.51434,35697.6,-8.04943,3.31928,0.26112,35697.6
-8.12593,-1.08434,0.263646,35753,8.01769,2.72743,-2.80704,35753
-6.37113,-5.51408,-4.5702,36108.4,0.764044,8.06352,5.79048,36108.4
8.29745,2.91172,-3.73223,36764.6,-8.66557,-1.0164,1.26583,36764.6
3.13692,7.77632,-0.987528,37144,-2.70647,-7.79855,-1.83534,37144
-0.400418,8.48151,-5.55157,38083.9,2.2163,-8.16901,4.26004,38083.9
-1.26092,8.26698,-3.75409,39170.4,3.96382,-7.35607,1.38188,39170.4
5.53165,-6.999,-6.06393,39616.8,-2.76305,7.72372,1.82419,39616.8
-1.41469,8.14779,-0.850773,39876.9,4.62762,-7.61336,-1.88222,39876.9
7.26852,-4.11011,0.524223,40660.9,-2.50692,8.72091,-2.17679,40660.9
-5.49832,-7.23195,-2.12631,41138.7,5.99059,5.8996,1.37416,41138.7
1.0416,8.08333,-4.46914,42650.3,2.14411,-8.06462,5.51473,42650.3
4.24722,7.70698,0.731261,44194.4,-3.24912,-7.46033,-5.1225,44194.4
8.37905,3.05805,2.14277,44839.3,-7.16992,-4.15612,-4.58444,44839.3
-6.65706,-5.47507,-3.41417,45416.4,5.99797,5.59628,-0.0965353,45416.4
6.28102,5.43318,-1.20766,45432.6,-6.86056,-4.88986,-1.0507,45432.6
-8.67098,1.9535,1.1415,45496,8.00543,1.79433,-2.37068,45496
1.41544,-8.22356,0.807414,46680,-1.46506,8.19243,-2.67993,46680
-5.10248,6.41923,-3.55556,48193.2,8.21485,-2.74207,1.31658,48193.2
-3.80328,-7.77388,5.22067,49004.6,4.68246,7.28675,-4.80558,49004.6
8.58894,2.84544,-1.7049,49191.8,-7.06301,5.06195,3.98311,49191.8
8.98335,-0.400106,0.772403,49269.4,-7.22199,4.03979,-3.35356,49269.4
-3.432,7.52059,-0.289048,50106.1,6.87762,-5.12939,-2.24657,50106.1
7.92105,1.98248,1.93139,51433.6,-7.7187,4.64765,-2.13992,51433.6
-8.1913,2.03224,-0.451992,51469.8,8.70791,1.14786,-1.52348,51469.8
-4.04486,7.21773,-1.39039,51653.5,6.98872,-4.33303,2.20757,51653.5
-0.0268197,8.6108,0.922122,51792.2,5.69854,-5.78024,0.0827077,51792.2
6.09439,5.32068,-3.39352,52759.1,-8.4359,0.0203055,3.07261,52759.1
-1.29118,8.56863,1.75061,52771.2,3.50553,-8.18589,-3.47614,52771.2
5.73277,-6.24941,2.03708,52869.8,-4.08,7.97443,-3.32878,52869.8
3.04326,-7.56428,-3.59926,53169.3,-1.21219,8.16721,0.323513,53169.3
7.74508,3.0628,-0.102241,53674.6,-8.34623,-0.65219,-1.79902,53674.6
-5.18981,-6.38617,-3.10121,53850.5,5.05026,6.86364,0.97455,53850.5
2.45258,8.13291,-3.74353,54559.5,0.836179,-8.90479,3.61044,54559.5
8.78295,0.899947,-3.4412,55517.2,-8.3718,2.04496,1.8591,55517.2
5.84317,-5.83385,0.483842,55601.2,-4.24435,7.22388,-2.5551,55601.2
