X Position 1[cm],Y Position 1[cm],Z Position 1[cm],Timestamp 1[ms],X Position 2[cm],Y Position 2[cm],Z Position 2[cm],Timestamp 2[ms]
7.77019,3.70221,-4.66381,1294.18,-8.05826,-3.45962,-0.59267,1294.18
2.04657,8.92934,-4.74688,2116.71,-0.678477,-8.36039,-1.20957,2116.71
6.96976,4.29193,-1.29992,4076.97,-7.96316,-4.19135,-4.14117,4076.97
8.16155,-0.839072,0.137101,4564.76,-8.09817,2.14492,-5.63141,4564.76
-6.55758,4.98824,-5.24153,4861.12,7.40446,-4.1041,-0.306629,4861.12
-5.03787,7.27547,-4.45631,5494.26,5.34268,-6.45734,-0.85442,5494.26
-5.9603,-6.61012,0.533546,5553.29,5.56544,6.42471,-5.51476,5553.29
6.68332,5.95731,0.771666,7603.42,-6.49812,-5.96946,-6.28581,7603.42
-4.90531,-6.89878,-2.54886,8409.87,4.65297,6.86952,-2.65785,8409.87
3.81535,7.97814,-3.87633,9043.53,-3.05511,-7.77492,-2.41576,9043.53
-2.91405,8.57545,-5.65621,10502.4,1.54172,-8.89255,-0.181412,10502.4
8.21857,-0.663648,-6.16805,10659,-8.62334,-0.958166,1.00032,10659
-7.07409,-5.11304,-3.13723,11296.9,6.98009,5.26297,-2.01163,11296.9
2.69558,-7.77918,-4.77909,11827.8,-1.9996,7.99083,-0.199267,11827.8
-7.67152,-2.84914,-4.27089,12741.5,8.3345,3.47038,-0.618198,12741.5
2.70607,-7.62668,-1.99187,13601.2,-0.624398,9.01725,0.064239,13601.2
-7.22768,-5.15539,-1.14206,13932.4,6.79705,5.1657,-3.58402,13932.4
4.66097,-7.70042,-0.91647,15174.2,-2.622,8.1419,-3.74668,15174.2
3.39136,-7.32,-3.52569,15936,3.07612,7.54704,-3.18603,15936
-6.84849,-5.44186,-3.44174,18022.7,7.5321,4.60465,-1.83498,18022.7
8.09925,3.39644,-1.45114,19387.1,-7.82407,-2.42508,-4.12617,19387.1
-8.25611,-2.409,-6.21838,19720.7,7.75737,2.87362,0.829036,19720.7
3.26782,8.26537,1.2602,20774.2,-1.47216,-8.815,-2.81374,20774.2
7.79034,3.70366,-2.14967,21619.4,-7.09872,-4.03679,2.09402,21619.4
-1.01549,-8.40118,-4.16922,22151.2,3.70976,7.53844,-0.492656,22151.2
8.11264,1.36282,-0.255458,22457.2,-8.9436,0.752875,-5.12054,22457.2
-2.28095,8.55719,-0.428117,22861.2,6.62056,-4.93551,-2.72077,22861.2
-7.02699,-4.50712,1.08769,23607.4,7.6713,4.51314,-3.93009,23607.4
0.248943,8.71519,-3.46529,23629.8,3.91345,-7.24876,-0.35371,23629.8
7.53731,3.43534,-0.544973,24796.2,-7.87422,-3.30639,-4.39174,24796.2
1.83234,8.11717,-0.0538378,25840.5,2.91844,-8.43095,-4.46108,25840.5
7.4102,4.28906,-3.00458,26388.1,-7.75278,-4.37231,0.11945,26388.1
-3.27007,8.26316,-2.171,26557.1,7.11887,-4.45846,-2.69619,26557.1
8.28226,1.71689,-1.8008,29686.5,-8.14795,1.13596,-1.45492,29686.5
8.43622,2.53551,-0.246663,29700.9,-6.91144,4.99476,-2.65329,29700.9
-7.28137,4.71006,-2.9948,30049.5,8.60516,-0.337591,-1.08183,30049.5
7.56628,-3.08425,-3.37067,30722.3,-5.01278,7.1575,1.00122,30722.3
-0.767794,8.31942,-4.94213,31434.3,5.51284,-6.31,2.27704,31434.3
2.85705,7.70211,-1.19465,33217.7,1.79953,-8.3829,-5.59549,33217.7
8.05001,2.59626,-4.02411,33934,-8.40961,-0.0599859,2.31158,33934
8.79302,-1.44484,-5.71778,34590.3,-6.99826,5.26209,3.49483,34590.3
8.90537,0.167279,-4.25271,34691.1,-7.34375,3.60911,1.54243,34691.1
-7.35427,3.88437,1.07416,35676.5,8.41164,-0.326994,-3.5473,35676.5
