X Position 1[cm],Y Position 1[cm],Z Position 1[cm],Timestamp 1[ms],X Position 2[cm],Y Position 2[cm],Z Position 2[cm],Timestamp 2[ms]
-8.39616,0.522234,-4.01267,2173.33,7.62018,3.15361,-2.1552,2173.33
-6.63169,6.07737,-2.16206,3112.99,8.39437,-1.25122,-3.4052,3112.99
4.37285,6.93969,-4.16104,3539.52,-4.90876,-7.02789,-0.602351,3539.52
1.73193,8.32282,-4.71474,3938.69,0.499218,-8.09485,0.182666,3938.69
-1.67529,-8.10556,-5.22282,4144.45,3.38039,7.71442,-1.44185,4144.45
5.99603,6.69951,-0.967504,4907.46,-5.90355,-5.61627,-6.03765,4907.46
8.33266,0.890225,-2.56882,5321.09,-7.23161,3.76244,-2.88493,5321.09
-5.8096,-6.58285,1.33963,5493.29,5.62624,6.36412,-4.79853,5493.29
8.44789,-3.13452,-0.870029,6031.66,-4.93102,6.54728,-4.46106,6031.66
2.89726,7.99352,-4.94403,6761.58,0.0338087,-8.59024,1.24564,6761.58
-8.38464,0.252117,0.5931,7272.26,8.07907,-0.419311,-1.95886,7272.26
-5.75259,5.96613,-0.232228,7440.5,8.11978,-1.53602,-4.77854,7440.5
2.40789,-8.27263,-6.14072,8430.71,1.29753,8.41801,-0.117192,8430.71
8.24833,0.153962,-3.05916,8899.7,-7.21141,3.95089,-1.96173,8899.7
8.8263,-0.400349,-0.53277,10047.6,-7.82549,3.89099,-5.9995,10047.6
6.61021,-6.08017,-4.86339,10181,-1.29165,8.27199,-2.1282,10181
2.74544,7.83067,-6.03661,11364.7,2.63612,-8.34167,2.31057,11364.7
3.66433,-8.10454,-0.266609,12747.5,2.08011,8.05306,-4.44252,12747.5
6.44047,6.26279,-4.04843,13016.6,-2.8585,-8.56934,0.34634,13016.6
-0.97666,8.4882,-3.85799,14904.2,5.93974,-6.56898,-1.17158,14904.2
6.11818,6.11313,-4.00523,15655.4,-0.988605,-8.6463,-0.533091,15655.4
-4.71323,-7.54463,-4.71347,15999.7,7.96477,3.99299,2.04931,15999.7
8.48473,2.1008,-0.59946,17406.4,-7.78768,-3.70297,-5.25693,17406.4
-5.90432,-6.38993,-3.49383,17752.7,7.82122,3.28797,-2.05292,17752.7
-0.339594,-8.75456,-0.993294,18602.3,4.22683,7.31469,-2.98624,18602.3
-8.48822,-0.681407,-5.44492,19430.7,8.15982,1.90344,0.709455,19430.7
7.191,3.75015,-2.48586,19464.2,-3.24356,-7.67215,-4.62319,19464.2
-5.04811,6.37782,-4.02358,19745.5,7.21979,-4.69433,-0.957337,19745.5
-0.888301,-8.81507,-2.76819,20454.2,3.71981,8.06478,1.66081,20454.2
8.60949,-0.654304,0.434553,21092.9,-8.2545,0.699266,-6.14857,21092.9
7.18531,4.46456,-3.13136,22129,-6.4403,-5.8552,-1.26882,22129
3.77772,7.38777,-0.125232,23253,-1.4783,-8.85228,-3.76086,23253
-6.76924,-4.84657,0.731253,23287.4,7.82613,4.02876,-4.2439,23287.4
-8.47399,3.06418,-5.96881,23479.3,8.04821,-1.69232,0.768168,23479.3
8.364,1.35431,-3.46005,23673.2,-8.61003,-1.5456,-1.07424,23673.2
-3.19189,-7.83461,-3.36581,23929.6,5.06801,6.97903,-1.13653,23929.6
-3.05067,7.69286,-2.08638,24543.3,5.20978,-7.37714,-2.15111,24543.3
-1.44234,8.59267,-1.45123,24755.3,3.43505,-8.33529,-2.66238,24755.3
6.14215,5.48806,-5.1749,26352.6,-8.21631,-1.76784,2.6503,26352.6
4.13653,-7.74643,1.35918,27259.9,-2.67325,8.03114,-4.87549,27259.9
-8.76908,-0.88717,0.490558,31982.4,7.85499,4.44653,-3.92872,31982.4
7.80683,3.18321,-4.36681,33694,-8.4097,0.566199,1.8753,33694
-7.1483,4.08121,1.17228,34441.1,8.90636,0.58056,-4.56989,34441.1
8.19337,-2.58261,1.52926,34665.7,-5.21138,6.23277,-4.0164,34665.7
-8.48537,-0.567293,-0.628112,35022.9,7.16465,5.481,-3.74252,35022.9
-1.83115,8.43006,-1.03342,35445.3,5.60532,-6.90458,-2.46796,35445.3
8.49626,-2.28647,-3.8319,35398.1,-5.26733,6.50868,4.83829,35398.1
1.5558,8.37735,-5.23623,35563.9,0.0562187,-8.98076,4.76418,35563.9
2.56896,8.49527,-2.88972,36093.8,-1.04213,-8.0788,1.52533,36093.8
7.76919,-2.90404,2.01229,37239.5,-3.96688,7.4464,-4.52244,37239.5
-6.01089,5.9352,-4.43545,37596.8,8.30931,-0.214184,1.49136,37596.8
2.24465,8.02023,-2.93525,37646.3,-0.390935,-8.31928,2.01458,37646.3
0.602938,8.48193,-4.68561,38193.9,3.12967,-7.61047,4.80064,38193.9
-8.31727,2.4845,0.304002,39005.5,7.77591,3.2271,-2.75344,39005.5
8.84217,0.0418736,-3.30099,38979.2,-6.37256,5.94941,0.571188,38979.2
4.35685,7.76127,-4.33985,39800.6,-4.00658,-8.06561,5.38459,39800.6
-7.71995,-4.8749,4.27564,42292.2,6.21535,6.0129,-3.69433,42292.2
-0.657023,8.1273,0.977882,42676.1,6.344,-6.25431,-5.13794,42676.1
