X Position 1[cm],Y Position 1[cm],Z Position 1[cm],Timestamp 1[ms],X Position 2[cm],Y Position 2[cm],Z Position 2[cm],Timestamp 2[ms]
-7.38183,4.31317,-6.33498,623.543,8.33495,0.0383942,-0.414837,623.543
5.37948,7.3898,-2.85202,1178.23,-3.58767,-7.66812,-3.05998,1178.23
-8.07814,-0.394513,-4.10665,2203.33,7.97696,2.29249,-2.1945,2203.33
-1.75315,8.03531,-5.82498,3120.11,5.07481,-6.4398,0.271319,3120.11
3.74955,7.27785,-1.97652,4640.78,-1.88946,-8.18985,-3.62521,4640.78
3.00887,7.98067,-0.212148,5419.61,-1.36785,-8.26766,-6.15044,5419.61
2.2373,8.45109,-3.74803,6683.4,-1.00687,-8.16543,-1.70012,6683.4
-6.15792,5.53112,1.44789,8954.47,7.11283,-4.36276,-3.59617,8954.47
5.22764,-6.3971,-1.03417,9220.9,-4.5261,7.61053,-4.3946,9220.9
-7.5569,3.96075,-0.45719,10045.8,8.00975,-3.0762,-4.13983,10045.8
7.69594,2.6312,-4.64441,10210.5,-8.80613,-1.3225,-0.126159,10210.5
-7.23169,3.82934,-3.89666,10543.3,8.14965,-1.4989,-1.85186,10543.3
8.08752,1.25843,-4.06628,13228.7,-8.39088,1.06946,-1.14495,13228.7
-7.0317,5.54558,-4.57668,13686.7,8.64584,-2.67578,-0.418267,13686.7
2.98091,-7.80569,2.02004,13738,-1.23488,8.27682,-5.73164,13738
-7.12739,-5.17953,3.12392,13822.4,6.25922,5.70692,-3.47844,13822.4
5.77026,5.64882,-3.4904,13831.5,-6.8836,-4.88277,-1.0358,13831.5
-7.92708,3.18724,-3.52563,14265.3,8.16033,0.1782,-1.81388,14265.3
1.13407,8.9184,-1.62998,15602.3,-2.98773,-7.80146,3.39701,15602.3
4.29641,7.54176,-3.95817,15807.2,-4.64566,-7.49874,4.15229,15807.2
7.48823,3.8693,-1.95982,18419.1,-8.8521,0.0200543,-2.84882,18419.1
6.89953,5.64805,-0.719415,19088.5,-7.72064,-2.97015,-5.19139,19088.5
8.09887,-0.350579,-2.54558,19279.5,-5.25564,6.39948,-2.23473,19279.5
7.28135,-4.00893,-5.58898,19336.2,-2.20368,8.62695,0.231314,19336.2
7.11986,4.41433,0.353207,19570.7,-8.32419,2.05788,-5.34009,19570.7
3.91866,-7.47619,4.07862,20151.1,0.993914,8.6485,-5.63684,20151.1
1.423,8.26314,-4.26447,22060,4.04415,-7.54207,1.88773,22060
3.8771,-7.6486,1.02305,22487.3,1.54574,8.49202,-3.89627,22487.3
7.55957,4.74358,-0.59509,22924,-8.57553,-0.894323,-5.29556,22924
3.28562,8.16746,-4.01179,22993.5,-0.55528,-8.89133,3.61442,22993.5
4.25132,7.91758,-4.21458,23163.8,6.13857,-5.43184,-3.2561,23163.8
1.46883,8.86496,-0.662674,25219.6,1.15954,-8.41084,-5.1696,25219.6
8.52345,-2.70618,-0.311954,26041,-3.37304,8.15491,-3.81141,26041
5.58977,6.21381,-1.17221,26785.3,3.97806,-7.2758,-2.84821,26785.3
0.0563924,8.28257,-1.73936,26927.7,8.59693,-1.9767,0.706923,26927.7
4.24486,7.21065,-0.923051,27797.2,-0.746291,-8.90497,-3.59665,27797.2
2.69371,8.46095,-0.945503,28211.3,0.358101,-8.47117,-3.12064,28211.3
8.13413,2.36013,-2.60429,28268.3,-8.49168,2.14979,-0.518892,28268.3
8.04738,1.90516,-4.78204,28316.2,-8.26547,0.504971,0.904968,28316.2
-8.42524,1.33038,3.01824,28911.2,7.81031,2.64474,-3.95816,28911.2
7.86519,3.7995,-2.71959,29051.8,-8.14912,-1.09132,-0.133919,29051.8
0.931854,8.88372,-5.92229,29337.2,4.0541,-7.19184,3.24228,29337.2
8.26956,0.423784,-1.79457,30943,-6.49437,5.3247,-0.707064,30943
-6.31718,-6.04292,-5.12905,31288.8,6.67489,6.02312,-0.193783,31288.8
-6.64059,5.54038,1.05159,32703.5,8.19751,-2.06188,-3.82255,32703.5
8.71171,1.28347,1.4792,33647.8,-8.47293,1.35326,-6.34993,33647.8
-2.69197,-7.64803,-5.3329,34989.5,4.35842,7.03483,0.684254,34989.5
5.71809,-5.8108,-3.99949,39171.4,-4.60833,7.01606,-3.72039,39171.4
-0.260948,8.32091,-4.06966,41276.9,4.17424,-7.38303,0.594687,41276.9
-7.58298,3.05119,2.91686,41901.3,8.0848,-0.974108,-4.91797,41901.3
0.821886,8.8612,-5.14161,42671.6,1.34168,-8.29971,2.86441,42671.6
3.79759,-7.21716,-3.99125,44275,2.26995,8.4381,-0.768301,44275
