,Xs,Ys,Zs
56,2.568837220593814,1.162279633527523,-2.0648824048605
57,2.5587661653243403,1.1440709861487617,-2.0485742039837764
58,2.5483106563226,1.1257980296004264,-2.032307887197397
59,2.537483800459142,1.1074697742900257,-2.0160841948280237
60,2.526298704604516,1.0890952306250694,-1.9999038672023148
61,2.51476847562927,1.070683409013066,-1.9837676446469326
62,2.5029062204039523,1.0522433198615238,-1.9676762674885369
63,2.4907250457991115,1.0337839735779526,-1.9516304760537877
64,2.478238058685296,1.0153143805698603,-1.935631010669346
65,2.465458365933055,0.9968435512447571,-1.919678611661872
66,2.4523990744129365,0.9783804960101513,-1.9037740193580264
67,2.4390732909954904,0.9599342252735521,-1.8879179740844698
68,2.425494122551263,0.9415137494424677,-1.8721112161678615
69,2.411674675950805,0.9231280789244076,-1.856354485934863
70,2.3976280580646634,0.9047862241268805,-1.8406485237121342
71,2.383367375763388,0.8864971954573959,-1.8249940698263363
72,2.368905735917527,0.8682700033234615,-1.8093918646041287
73,2.3542562453976283,0.8501136581325872,-1.7938426483721723
74,2.3394320110742415,0.8320371702922821,-1.778347161457128
75,2.3244461398179137,0.814049550210054,-1.762906144185655
76,2.309311738499196,0.7961598082934128,-1.7475203368844154
77,2.294041913988635,0.7783769549498671,-1.7321904798800685
78,2.278649773156779,0.760710000586926,-1.7169173134992748
79,2.2631484228741776,0.743167955612098,-1.7017015780686948
80,2.24755097001138,0.7257598304328925,-1.6865440139149894
81,2.231870521438933,0.7084946354568181,-1.6714453613648186
82,2.2161201840273863,0.6913813810913839,-1.6564063607448432
83,2.2003130646472884,0.6744290777440985,-1.6414277523817224
84,2.1844622701691883,0.6576467358224719,-1.6265102766021193
85,2.1685809074636326,0.6410433657340112,-1.611654673732691
86,2.152682083401172,0.6246279778862267,-1.5968616841001002
87,2.1367789048523558,0.6084095826866271,-1.5821320480310075
88,2.120884478687729,0.5923971905427207,-1.567466505852071
89,2.105011911777843,0.5765998118620171,-1.5528657978899532
90,2.089174310993246,0.5610264570520251,-1.5383306644713142
91,2.0733847832044865,0.5456861365202532,-1.5238618459228144
92,2.0576564352821127,0.5305878606742109,-1.509460082571114
93,2.042002374096673,0.5157406399214068,-1.4951261147428734
94,2.026435706518717,0.5011534846693497,-1.480860682764753
95,2.0109695394187916,0.4868354053255487,-1.4666645269634129
96,1.9956169796674472,0.472795412297513,-1.4525383876655151
97,1.9803911341352316,0.459042515992751,-1.4384830051977184
98,1.9653051096926923,0.4455857268187716,-1.4244991198866834
99,1.9503720132103806,0.4324340551830845,-1.4105874720590716
100,1.9356049515588425,0.41959651149319754,-1.3967488020415422
101,1.9210170316086277,0.4070821061566205,-1.3829838501607563
102,1.9066213602302846,0.3948998495808619,-1.3692933567433745
103,1.8924310442943613,0.38305875217343066,-1.3556780621160565
104,1.8784591906714077,0.371567824341836,-1.3421387066054635
105,1.864718906231971,0.36043607649358633,-1.3286760305382554
106,1.8512232978466006,0.3496725190361911,-1.3152907742410929
107,1.8379854723858444,0.3392861623771589,-1.3019836780406366
108,1.8250185367202516,0.3292860169239987,-1.288755482263546
109,1.8123355977203701,0.31968109308421944,-1.2756069272364827
110,1.7999497622567497,0.31048040126533005,-1.2625387532861068
111,1.7878741371999376,0.30169295187483963,-1.2495517007390784
112,1.7761218294204832,0.2933277553202566,-1.2366465099220585
113,1.7647059457889354,0.28539382200909047,-1.2238239211617068
114,1.7536395931758417,0.27790016234884984,-1.2110846747846844
115,1.742935545776371,0.2708555247531473,-1.1984294834356235
116,1.732598692513961,0.2642624476988565,-1.1858584036231121
117,1.7226259049575434,0.25811715570614935,-1.173370824729041
118,1.7130136955818267,0.2524155904955081,-1.1609661062549523
119,1.7037585768615233,0.24715369378741522,-1.1486436077023894
120,1.6948570612713423,0.24232740730235286,-1.136402688572895
121,1.6863056612859946,0.23793267276080363,-1.1242427083680113
122,1.6781008893801908,0.23396543188325014,-1.1121630265892821
123,1.6702392580286405,0.2304216263901742,-1.1001630027382494
124,1.6627172797060532,0.22729719800205864,-1.0882419963164556
125,1.6555314668871415,0.22458808843938557,-1.0763993668254443
126,1.6486783320466138,0.22229023942263781,-1.0646344737667583
127,1.6421543876591818,0.22039959267229722,-1.0529466766419404
128,1.6359561461995549,0.21891208990884659,-1.041335334952533
129,1.630080120142443,0.2178236728527681,-1.029799808200079
130,1.6245228219625583,0.2171302832245445,-1.018339455886121
131,1.619280764134609,0.21682786274465746,-1.006953637512202
132,1.6143504591333073,0.21691235313359017,-0.9956417125798654
133,1.609728419433362,0.21737969611182434,-0.9844030405906532
134,1.6054111575094845,0.21822583339984292,-0.9732369810461082
135,1.6013951858363844,0.21944670671812785,-0.9621428934477735
136,1.5976770168887722,0.221038257787162,-0.9511201372971917
137,1.5942531631413588,0.22299642832742736,-0.940168072095906
138,1.591120137068854,0.2253171600594064,-0.9292860573454589
139,1.5882744511459679,0.22799639470358152,-0.9184734525473929
140,1.5857126178474115,0.2310300739804353,-0.9077296172032511
141,1.5834311496478943,0.23441413961044982,-0.8970539108145766
142,1.5814265590221277,0.23814453331410768,-0.8864456928829119
143,1.579695358444821,0.24221719681189133,-0.8759043229097994
144,1.578234060390685,0.24662807182428298,-0.8654291603967822
145,1.57703917733443,0.2513731000717651,-0.8550195648454034
146,1.5761072217507668,0.25644822327482,-0.8446748957572056
147,1.5754347061144045,0.26184938315393036,-0.8343945126337311
148,1.5750181429000543,0.26757252142957805,-0.8241777749765233
149,1.574854044582427,0.273613579822246,-0.814024042287125
150,1.5749389236362317,0.2799685000524164,-0.8039326740670785
151,1.5752692925361798,0.28663322384057144,-0.793903029817927
152,1.575841663756981,0.29360369290719374,-0.7839344690412134
153,1.576652549773346,0.3008758489727657,-0.7740263512384801
154,1.5776984630599846,0.30844563375776973,-0.7641780359112699
155,1.5789759160916075,0.31630898898268794,-0.7543888825611258
156,1.580481421342925,0.3244618563680029,-0.7446582506895908
157,1.582211491288648,0.33290017763419727,-0.7349854997982073
158,1.5841626384034857,0.34161989450175295,-0.7253699893885179
159,1.5863313751621495,0.35061694869115284,-0.7158110789620663
160,1.5887142140393482,0.3598872819228788,-0.7063081280203942
161,1.5913076675097941,0.36942683591741354,-0.6968604960650452
162,1.5941082480481965,0.3792315523952395,-0.6874675425975619
163,1.5971124681292657,0.3892973730768389,-0.6781286271194868
